,lat,lon,timestamp,amenity,tags,name
130,49.0920471,-122.9575687,2021-05-03T15:01:30.000-07:00,cafe,"{'brand:wikidata': 'Q175106', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'brand:wikipedia': 'en:Tim Hortons'}",Tim Hortons
137,49.2685718,-123.104526,2022-09-27T22:33:54.000-07:00,cafe,"{'opening_hours': 'Mo-Fr 8:00-5:00; Sa 08:00-14:00', 'website': 'https://www.argocafe.ca/', 'addr:housenumber': '1836', 'addr:street': 'Ontario Street', 'phone': '+1-604-876-3620'}",Argo Cafe
247,49.2352765,-123.1157382,2021-03-17T06:04:33.000-07:00,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '5504', 'brand:wikipedia': 'en:Starbucks', 'name:fr': 'Starbucks', 'cuisine': 'coffee_shop', 'addr:street': 'Cambie Street', 'takeaway': 'yes', 'brand': 'Starbucks', 'addr:city': 'Vancouver'}",Starbucks
303,49.3721579,-123.098807,2021-02-22T08:40:57.000-08:00,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '6400', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'addr:street': 'Nancy Greene Way', 'takeaway': 'yes', 'brand': 'Starbucks'}",Starbucks
318,49.2635825,-123.1288364,2019-05-04T04:55:51.000-07:00,cafe,{'opening_hours': 'Mo-Fr 06:00-24:00; Sa-Su 08:00-22:00'},Waves
413,49.0408954,-122.2698339,2021-01-02T01:50:06.000-08:00,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '2140', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'addr:street': 'Sumas Way', 'takeaway': 'yes', 'brand': 'Starbucks', 'addr:postcode': 'V2S 2C7', 'addr:unit': '403'}",Starbucks
514,49.2660115,-123.2423353,2010-03-11T09:34:42.000-08:00,cafe,{},Only U Cafe
578,49.2866143,-123.1281928,2021-07-02T00:36:03.000-07:00,cafe,"{'brand:wikidata': 'Q64827032', 'addr:province': 'BC', 'addr:housenumber': '1274', 'opening_hours': 'Su-Th 12:00-22:00; Fr,Sa 12:00-23:00', 'cuisine': 'bubble_tea', 'name:en': 'Sharetea', 'addr:street': 'Robson Street', 'takeaway': 'yes', 'brand': 'Sharetea', 'name:zh': '歇腳亭', 'addr:city': 'Vancouver'}",Sharetea
579,49.2865379,-123.1280477,2021-05-30T21:39:00.000-07:00,cafe,"{'addr:province': 'BC', 'addr:housenumber': '1258', 'opening_hours': 'We-Mo 13:00-21:30', 'cuisine': 'bubble_tea', 'addr:street': 'Robson Street', 'addr:city': 'Vancouver'}",Milksha
580,49.2863846,-123.1272393,2022-04-27T03:12:50.000-07:00,cafe,"{'addr:province': 'BC', 'addr:housenumber': '1223', 'opening_hours': 'Sa,Su 07:30-13:30', 'outdoor_seating': 'yes', 'addr:street': 'Robson Street', 'addr:city': 'Vancouver'}",Abode
612,49.2686141,-123.158778,2019-08-29T18:37:06.000-07:00,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}",Starbucks
623,49.2876133,-123.1149238,2019-11-25T23:07:41.000-08:00,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'internet_access': 'yes', 'brand:wikipedia': 'en:Starbucks', 'internet_access:fee': 'no', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks', 'addr:city': 'Vancouver'}",Starbucks
699,49.1128069,-122.6724406,2020-01-17T08:20:56.000-08:00,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'website': 'https://www.starbucks.ca/', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'addr:housenumber': '19898', 'phone': '+1-604-217-7393', 'opening_hours': 'Mo-Fr 05:00-21:00; Su 06:30-21:00; Sa 06:00-21:00', 'name:en': 'Starbucks', 'addr:street': 'Langley Bypass', 'brand': 'Starbucks'}",Starbucks
765,49.3050257,-123.014402,2021-03-09T20:55:47.000-08:00,cafe,"{'brand:wikidata': 'Q175106', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'brand:wikipedia': 'en:Tim Hortons'}",Tim Hortons
801,49.1328083,-122.8460672,2021-12-14T00:54:03.000-08:00,cafe,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '7195', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'addr:street': 'King George Boulevard', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons
804,49.0513627,-122.6919116,2022-09-19T06:09:33.000-07:00,cafe,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '2711', 'internet_access': 'wlan', 'air_conditioning': 'yes', 'phone': '+1-604-536-4775', 'brand:wikipedia': 'en:Tim Hortons', 'opening_hours': '24/7', 'cuisine': 'coffee_shop', 'addr:street': '192 Street', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons
822,49.0497717,-122.3189143,2019-09-02T22:08:26.000-07:00,cafe,"{'opening_hours': 'PH,Su 11:00-17:00; Mo-We,Sa 09:30-17:30; Th,Fr 09:30-21:00', 'addr:unit': '24A'}",Sticky Buns & More
838,49.197754,-123.1407889,2020-01-13T06:13:45.000-08:00,cafe,"{'website': 'https://www.caffeartigiano.com', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'opening_hours': 'Mo-Sa 09:00-21:00; Su,PH 09:00-19:00', 'outdoor_seating': 'yes', 'addr:unit': '82'}",Caffè Artigiano
859,49.1797273,-123.137991,2018-06-20T15:12:27.000-07:00,cafe,"{'phone': '+1-604-273-0373', 'level': '0', 'opening_hours': '11:00-20:00', 'cuisine': 'chinese', 'addr:unit': '135', 'name:zh': '保羅美食'}",Paul's Kitchen
874,49.1767616,-122.689973,2017-02-16T08:54:01.000-08:00,cafe,"{'opening_hours': '24/7', 'addr:housenumber': '19218', 'addr:street': '96 Avenue', 'internet_access': 'wlan'}",Tim Hortons
883,49.2492264,-123.1007752,2019-11-20T08:20:04.000-08:00,cafe,"{'opening_hours': 'Mo-Fr 06:00-18:30; Sa,Su 06:30-18:30', 'addr:housenumber': '4010', 'name:en': 'Caffe Artigiano', 'addr:street': 'Main Street'}",Caffe Artigiano
889,49.279620800000004,-123.09998,2020-11-05T04:42:16.000-08:00,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'name:en': 'Starbucks', 'takeaway': 'yes', 'brand': 'Starbucks'}",Starbucks
891,49.2262222,-123.128769,2020-08-01T02:32:09.000-07:00,cafe,"{'brand:wikidata': 'Q175106', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'name:en': 'Tim Hortons', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons
899,49.2255047,-123.1013836,2016-10-27T04:34:35.000-07:00,cafe,{'name:en': 'Roots Café'},Roots Café
900,49.1252753,-123.1848507,2021-06-02T09:50:53.000-07:00,cafe,{},Steveston Coffee Co.
959,49.2635122,-123.1233898,2022-09-29T23:26:05.000-07:00,cafe,"{'opening_hours:signed': 'no', 'brand:wikidata': 'Q175106', 'brand:wikipedia': 'en:Tim Hortons', 'check_date:opening_hours': '2022-09-29', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons
962,49.2632049,-123.1070497,2022-01-25T01:10:55.000-08:00,cafe,"{'opening_hours': 'Mo-Fr 07:00-18:00; Sa,Su 08:00-18:00', 'cuisine': 'coffee_shop'}",Artigiano
980,49.2624382,-123.1007191,2020-01-20T20:26:25.000-08:00,cafe,"{'website': 'http://www.fuelledbycaffeine.com/', 'addr:housenumber': '2528', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'cuisine': 'coffee_shop', 'addr:street': 'Main Street'}",Bean Around The World
1033,49.1237285,-123.1820042,2021-06-02T09:50:53.000-07:00,cafe,"{'wheelchair': 'no', 'name:en': 'Blenz Coffee'}",Blenz Coffee
1039,49.1048167,-122.8022148,2019-09-23T20:08:40.000-07:00,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '15161', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'addr:street': 'Highway 10', 'takeaway': 'yes', 'brand': 'Starbucks'}",Starbucks
1229,49.2295453,-123.003179,2022-09-23T04:43:00.000-07:00,cafe,"{'website': 'https://www.yogostcanada.com/', 'addr:housenumber': '4560', 'opening_hours': 'Mo-Su 11:30-22:00', 'cuisine': 'yogurt_drink', 'addr:street': 'Kingsway', 'name:zh-Hans': '我是酸奶君', 'survey:date': '2021-11-18'}",Hey! I am Yogost
1245,49.2881125,-123.1146371,2017-03-18T01:54:53.000-07:00,cafe,{},
1251,49.2284585,-123.004995,2022-09-23T04:43:00.000-07:00,cafe,"{'website': 'https://www.bubblewafflecafe.ca/', 'addr:housenumber': '4500', 'phone': '+1-604-428-2838', 'cuisine': 'chinese', 'name:en': 'Bubble Waffle Cafe', 'addr:street': 'Kingsway', 'name:zh-Hant': '雞蛋仔餐廳', 'addr:unit': '2111'}",Bubble Waffle Cafe
1483,49.2792232,-123.116826,2022-03-23T15:56:12.000-07:00,cafe,"{'opening_hours:signed': 'no', 'addr:province': 'BC', 'addr:housenumber': '386', 'payment:credit_cards': 'yes', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'cuisine': 'bubble_tea', 'addr:street': 'Robson Street', 'payment:debit_cards': 'yes', 'addr:city': 'Vancouver'}",Ikoi Cha
1499,49.2260832,-123.001846,2022-10-01T20:02:51.000-07:00,cafe,"{'brand:wikidata': 'Q4926090', 'level': '0', 'cuisine': 'coffee_shop', 'name:en': 'Blenz Coffee', 'takeaway': 'yes', 'brand': 'Blenz Coffee'}",Blenz Coffee
1504,49.2273214,-123.000227,2022-10-01T20:02:51.000-07:00,cafe,"{'level': '0', 'name:en': 'Cinnzeo'}",Cinnzeo
1519,49.2315873,-123.009736,2022-03-25T15:26:12.000-07:00,cafe,"{'addr:province': 'BC', 'website': 'https://wavescoffee.com/our-stores/kingsway', 'addr:housenumber': '4250', 'internet_access': 'wlan', 'phone': '+1-604-428-9283', 'opening_hours': 'Su-Mo 08:00-22:00; PH 08:00-22:00', 'name:en': 'Waves', 'addr:street': 'Kingsway', 'addr:unit': '1', 'addr:city': 'Burnaby'}",Waves
1524,49.2186088,-122.9564849,2019-07-02T01:21:58.000-07:00,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'name:en': 'Starbucks', 'takeaway': 'yes', 'brand': 'Starbucks'}",Starbucks
1552,49.2256778,-122.9973902,2019-07-05T05:09:00.000-07:00,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'level': '1', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}",Starbucks
1568,49.2263089,-122.9999809,2019-02-03T01:58:57.000-08:00,cafe,{'level': '1'},Take Five Café
1574,49.2254283,-122.9974687,2019-05-27T03:58:18.000-07:00,cafe,"{'brand:wikidata': 'Q175106', 'level': '1', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'name:en': 'Tim Hortons', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons
1578,49.2284012,-123.0046672,2017-03-22T04:30:41.000-07:00,cafe,"{'addr:housenumber': '1003', 'name:en': 'Sunshine'}",Sunshine
1580,49.2285595,-123.004524,2022-09-23T04:43:00.000-07:00,cafe,"{'cuisine': 'bubble_tea', 'name:en': 'Comebuy', 'level': '0', 'brand': 'Comebuy', 'addr:unit': '1610'}",Comebuy
1586,49.2505112,-122.8949216,2017-03-13T04:13:06.000-07:00,cafe,{'name:en': 'Grainery'},Grainery
1600,49.2276298,-122.8401252,2022-09-30T01:16:12.000-07:00,cafe,"{'brand:wikidata': 'Q37158', 'addr:province': 'BC', 'official_name': 'Starbucks Coffee', 'website': 'https://www.starbucks.com/', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'addr:postcode': 'V3K 6Z1', 'addr:city': 'Coquitlam', 'addr:housenumber': '1988', 'phone': '+1-604-549-4240', 'drive_through': 'yes', 'opening_hours': 'Mo-Fr 05:00-19:30; Sa-Su 06:30-19:00', 'name:en': 'Starbucks', 'outdoor_seating': 'yes', 'addr:street': 'United Boulevard', 'brand': 'Starbucks'}",Starbucks
1614,49.2510633,-122.8951452,2017-03-13T04:12:00.000-07:00,cafe,"{'name:en': ""Anna's""}",Anna's
1615,49.2515309,-122.895731,2021-12-24T21:24:36.000-08:00,cafe,"{'cuisine': 'bubble_tea', 'website': 'http://www.bigorange.ca/', 'name:en': 'Big Orange', 'addr:unit': '711K'}",Big Orange
1625,49.2504908,-122.8944559,2019-09-27T12:21:02.000-07:00,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'name:en': 'Starbucks', 'takeaway': 'yes', 'brand': 'Starbucks'}",Starbucks
1645,49.2507164,-122.8956836,2017-03-13T04:15:59.000-07:00,cafe,{'name:en': 'Cinnzeo'},Cinnzeo
1647,49.2807562,-123.1073999,2021-02-09T08:16:52.000-08:00,cafe,"{'addr:province': 'BC', 'website': 'http://goldiespizza.com', 'addr:housenumber': '508', 'addr:street': 'Abbott Street', 'addr:city': 'Vancouver'}",Chi Chi's Cafe
1648,49.2808098,-123.1070156,2019-09-23T15:35:32.000-07:00,cafe,"{'wheelchair': 'yes', 'website': 'http://www.cavemancafe.ca', 'diet:paleo': 'yes', 'diet:gluten_free': 'yes', 'level': '0', 'takeaway': 'yes', 'diet:vegan': 'yes', 'diet:dairy_free': 'yes', 'addr:unit': '1005', 'addr:city': 'Vancouver', 'diet:vegetarian': 'yes', 'addr:housenumber': '88', 'diet:halal': 'only', 'phone': '+1-604-331-0668', 'opening_hours': 'Mo-Fr 11:00-22:00; Sa 12:00-22:00; Su 12:00-18:00', 'outdoor_seating': 'no', 'addr:street': 'Pender Street', 'payment:debit_cards': 'yes', 'email': 'info@cavemancafe.ca'}",Caveman Cafe
1987,49.2808856,-123.011264,2022-06-17T04:10:51.000-07:00,cafe,"{'website': 'https://wavescoffee.com/carleton', 'addr:housenumber': '4204', 'internet_access': 'wlan', 'phone': '+1-604-473-9288', 'opening_hours': 'Mo-Sa 07:00-20:00; Su 08:00-20:00; PH ""off""', 'name:en': 'Waves Coffee', 'addr:street': 'Hastings Street'}",Waves Coffee
2004,49.2543347,-122.737988,2019-09-10T18:06:48.000-07:00,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'name:en': 'Starbucks', 'takeaway': 'yes', 'brand': 'Starbucks'}",Starbucks
2006,49.257451,-122.7437942,2019-09-10T18:06:48.000-07:00,cafe,"{'brand:wikidata': 'Q175106', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'name:en': 'Tim Hortons', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons
2018,49.170241,-122.5781433,2020-05-05T22:56:36.000-07:00,cafe,"{'website': 'http://wendelsonline.com/wordpress/', 'diet:gluten_free': 'yes', 'cuisine': 'coffee_shop;sandwich', 'takeaway': 'yes', 'addr:postcode': 'V1M 2S5', 'addr:unit': '103', 'addr:city': 'Fort Langley', 'diet:vegetarian': 'yes', 'diet:lactose_free': 'yes', 'addr:housenumber': '9233', 'phone': '+1-604-513-2238', 'opening_hours': 'Mo-Su 07:30-22:00', 'outdoor_seating': 'yes', 'addr:street': 'Glover Road', 'fax': '+1-604-513-2237'}",Wendel's Bookstore & Cafe
2021,49.1692957,-122.5787654,2022-04-04T03:53:17.000-07:00,cafe,{},50's Cafe
2029,49.1992381,-122.9792371,2022-07-24T04:21:04.000-07:00,cafe,"{'brand:wikidata': 'Q37158', 'wheelchair': 'limited', 'official_name': 'Starbucks Coffee', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Starbucks', 'internet_access:fee': 'no', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'diet:vegetarian': 'yes', 'addr:housenumber': '7585', 'opening_hours': 'Mo-Fr 05:00-22:00; Sa 06:00-22:00; Su 06:00-21:00', 'addr:street': 'Market Crossing', 'brand': 'Starbucks'}",Starbucks
2037,49.1240007,-123.1843051,2010-06-06T05:02:23.000-07:00,cafe,{},Timothy's Frozen Yogurt
2048,49.1325243,-123.0924899,2019-08-24T15:12:34.000-07:00,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'internet_access': 'wlan', 'drive_through': 'yes', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks', 'addr:unit': '7100'}",Starbucks
2052,49.2861774,-123.1269715,2021-07-24T00:49:07.000-07:00,cafe,"{'opening_hours': 'Mo-Th 06:30-23:00; Fr 06:30-24:00; Sa 07:00-24:00; Su 07:00-23:00', 'check_date:opening_hours': '2021-07-23'}",Blenz
2061,49.2290279,-122.9989508,2020-04-03T19:50:34.000-07:00,cafe,"{'website': 'http://wee.cafejoie.com', 'internet_access': 'yes', 'internet_access:fee': 'yes', 'cuisine': 'tea;dessert;espresso', 'addr:unit': '110', 'addr:city': 'Burnaby', 'addr:housenumber': '6125', 'opening_hours': 'Su-Fr 09:00-23:00; Sa 10:00-23:00', 'internet_access:ssid': 'Mustache-guest', 'name:en': 'Mr. Mustache Tea & Dessert', 'outdoor_seating': 'yes', 'addr:street': 'Sussex Avenue'}",Mr. Mustache Tea & Dessert
2195,49.324043,-123.1099144,2019-09-12T16:34:50.000-07:00,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}",Starbucks
2197,49.3233347,-123.1138164,2020-06-29T04:02:25.000-07:00,cafe,"{'brand:wikidata': 'Q175106', 'delivery': 'no', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Tim Hortons', 'internet_access:fee': 'no', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'toilets': 'yes', 'addr:housenumber': '1409', 'drive_through': 'no', 'smoking': 'no', 'opening_hours': '24/7', 'outdoor_seating': 'no', 'addr:street': 'Marine Drive', 'brand': 'Tim Hortons'}",Tim Hortons
2204,49.3107221,-123.0812615,2017-01-05T16:35:07.000-08:00,cafe,{'name:en': 'Bean Around The World'},Bean Around The World
2205,49.2814148,-123.119467,2022-06-05T14:41:07.000-07:00,cafe,"{'addr:province': 'BC', 'wheelchair': 'yes', 'indoor_seating': 'yes', 'opening_hours': 'Mo-Su 10:00-22:00', 'name:en': 'Café Crêpe', 'outdoor_seating': 'yes', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}",Café Crêpe
2208,49.2630977,-123.1172998,2022-05-12T03:28:07.000-07:00,cafe,"{'opening_hours': 'Mo-Fr 07:00-16:00; Sa 09:00-16:00; Su 10:00-16:00', 'cuisine': 'coffee_shop', 'addr:housenumber': '590', 'source': 'http://www.elysiancoffee.com/', 'addr:street': 'West Broadway'}",Elysian Coffee Roasters
2210,49.2846042,-123.124593,2021-11-26T01:33:20.000-08:00,cafe,"{'brand:wikidata': 'Q37158', 'addr:province': 'BC', 'wheelchair': 'no', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'addr:city': 'Vancouver', 'addr:housenumber': '1099', 'opening_hours': 'Mo-Fr 05:30-00:00; Sa-Su 06:00-00:00', 'addr:street': 'Robson Street', 'brand': 'Starbucks'}",Starbucks
2233,49.0953173,-122.6241169,2019-09-23T20:13:59.000-07:00,cafe,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '21612', 'phone': '+1-604-533-1606', 'drive_through': 'yes', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'addr:street': 'Fraser Highway', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons
2234,49.1623763,-122.6603266,2019-09-23T20:13:22.000-07:00,cafe,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '20250', 'internet_access': 'wlan', 'phone': '+1-604-888-7101', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'addr:street': '88 Avenue', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons
2235,49.1196856,-122.6912218,2019-06-03T03:16:01.000-07:00,cafe,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '19171', 'internet_access': 'wlan', 'phone': '+1-604-574-1812', 'brand:wikipedia': 'en:Tim Hortons', 'opening_hours': '24/7', 'cuisine': 'coffee_shop', 'addr:street': 'Fraser Highway', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons
2236,49.1247605,-122.7048284,2019-09-04T03:34:36.000-07:00,cafe,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '18682', 'internet_access': 'wlan', 'phone': '+1-778-571-0394', 'brand:wikipedia': 'en:Tim Hortons', 'opening_hours': '24/7', 'cuisine': 'coffee_shop', 'addr:street': 'Fraser Highway', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons
2237,49.1636149,-122.8780219,2019-06-25T02:54:10.000-07:00,cafe,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '12467', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Tim Hortons', 'smoking': 'no', 'opening_hours': '24/7', 'cuisine': 'coffee_shop', 'addr:street': '88 Avenue', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons
2238,49.150248500000004,-122.8899397,2019-06-24T21:43:20.000-07:00,cafe,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '8080', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Tim Hortons', 'opening_hours': '24/7', 'cuisine': 'coffee_shop', 'addr:street': 'Scott Road', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons
2253,49.2506688,-122.8967172,2019-09-27T12:21:02.000-07:00,cafe,"{'brand:wikidata': 'Q175106', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'name:en': 'Tim Hortons', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons
2262,49.239521,-123.1286511,2020-10-30T17:32:46.000-07:00,cafe,{'addr:city': 'Vancouver'},Truffles Café
2266,49.2637142,-123.1087033,2021-10-03T05:55:12.000-07:00,cafe,"{'addr:housenumber': '156', 'addr:street': 'West 8th Avenue'}",Milano Cafe
2310,49.2347512,-123.1582643,2019-12-26T22:15:17.000-08:00,cafe,"{'brand:wikidata': 'Q175106', 'brand:wikipedia': 'en:Tim Hortons', 'opening_hours': '24/7', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons
2334,49.26437,-123.1674354,2019-08-29T18:45:23.000-07:00,cafe,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'website': 'https://www.starbucks.com/', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}",Starbucks
2338,49.2848065,-123.1143227,2016-06-09T02:51:46.000-07:00,cafe,"{'addr:housenumber': '450', 'addr:street': 'Granville Street'}",Trees Coffee
